Participant ID,Timestamp,Gender,Affiliation with UChicago,"If you are a student, what is your major(s)? If you are an alumni, what was your major(s)? If you are faculty, what is your affiliation? If you are none of the above, please write ""N/A"".","Do you consider yourself an artist? (visual arts, writing, performing arts, etc)",(Image #1) How appropriate do you think this use of AI-generated art is?,Image_1_appropriate,(Image #1) How do you feel about this use of AI-generated art?,Image_1_feeling,(Image #1) Do you think this is a fair use of AI-generated artwork?,Image_1_fair,(Image #2) How appropriate do you think this use of AI-generated art is?,Image_2_appropriate,(Image #2) How do you feel about this use of AI-generated art?,Image_2_feeling,(Image #2) Do you think this is a fair use of AI-generated artwork?,Image_2_fair,(Image #3) How appropriate do you think this use of AI-generated art is?,Image_3_appropriate,(Image #3) How do you feel about this use of AI-generated art?,Image_3_feeling,(Image #3) Do you think this is a fair use of AI-generated artwork?,Image_3_fair,(Image #4) How appropriate do you think this use of AI-generated art is?,Image_4_appropriate,(Image #4) How do you feel about this use of AI-generated art?,Image_4_feeling,(Image #4) Do you think this is a fair use of AI-generated artwork?,Image_4_fair,"When AI-generated art is posted online, should it be labeled as such?",AI_art_label,(labeling AI art) Feel free to describe any nuances that affect your answer to the previous question.,Would you consider AI-generated art to be real art?,AI_real_art,(AI vs real art) Feel free to describe any nuances that affect your answer to the previous question.,Should AI-generated art be sold for profit?,AI_art_profit,(AI for profit) Feel free to describe any nuances that affect your answer to the previous question.,For which of the following purposes do you think AI art is acceptable (Select all that apply).,"Hayao Miyazaki, the renowned director behind many of Studio Ghibli’s most famous works, has previously spoken out against using AI to create artwork. He has called AI art ""an insult to life itself."" Does this change how you view the previous pictures?",Please explain your answer to the previous question.,Have you ever used generative AI to create art? ,Column 33
1,4/8/2025 14:27:05,Female,Student,Computational and Applied Mathematics,No,Very appropriate,5,Slightly positively,4,Definitely fair,5,Slightly appropriate,4,Neutral,3,Slightly fair,4,Slightly not appropriate,2,Slightly positively,4,Slightly not fair,2,Not appropriate at all,1,Neutral,3,Neutral,3,Yes,2,,Maybe,1,,Maybe,1,,"Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Education & Learning (e.g. AI art tools help beginners learn composition, color theory, and artistic styles), Concept Art & Inspiration (e.g. Artists use AI to generate ideas or refine concepts before creating their own work), Marketing & Advertising (e.g. A company uses AI-generated visuals for ads, social media posts, and branding), Game & Film Production (e.g. Designers use AI-generated backgrounds, textures, and character designs), NFTs & Digital Art Market (e.g. AI art is sold as NFTs)",Yes,,,
2,4/8/2025 14:30:52,Female,Student,LLSO/Romance Languages,Yes,Not appropriate at all,1,Slightly negatively,2,Slightly not fair,2,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Slightly not appropriate,2,Neutral,3,Slightly not fair,2,Yes,2,,No,0,,No,0,,"Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Concept Art & Inspiration (e.g. Artists use AI to generate ideas or refine concepts before creating their own work)","Yes, it makes me more strongly AGAINST using AI in art.","I disagree strongly with the use of AI to copy someone's art style who has spoken out specifically against AI - as Miyazaki directs many Ghibli films, this reeks of plagiarism and IP theft to me, given that he has explicitly not consented to the use of the Ghibli style for AI art.",,
3,4/8/2025 14:33:24,Male,Student,Financial Math,No,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Slightly not appropriate,2,Slightly negatively,2,Slightly not fair,2,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Yes,2,,Maybe,1,"If it's utilized as a tool in a process of creation without infringing on intellectual property, but not presented as individual end work piece.",Maybe,1,Similar to above. ,"Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Education & Learning (e.g. AI art tools help beginners learn composition, color theory, and artistic styles)","Yes, it makes me more strongly AGAINST using AI in art.",I've seen this clip and I agree,,
4,4/8/2025 14:35:38,Female,Student,Business Economics and Psychology,Yes,Slightly not appropriate,2,Neutral,3,Slightly not fair,2,Slightly not appropriate,2,Slightly negatively,2,Slightly not fair,2,Neutral,3,Slightly positively,4,Slightly fair,4,Slightly not appropriate,2,Neutral,3,Slightly not fair,2,Yes,2,,Maybe,1,,Maybe,1,,"Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Education & Learning (e.g. AI art tools help beginners learn composition, color theory, and artistic styles), Concept Art & Inspiration (e.g. Artists use AI to generate ideas or refine concepts before creating their own work), Game & Film Production (e.g. Designers use AI-generated backgrounds, textures, and character designs), Custom Avatars & Portraits (e.g. AI creates personalized profile pictures, avatars, and digital personas), Collaborative Art (e.g. AI acts as a co-creator, allowing artists to modify, remix, and enhance their work)","No, it does not change how I feel.",,,
5,4/8/2025 14:38:01,Female,Student,"CHDV, Econ",No,Slightly not appropriate,2,Neutral,3,Slightly not fair,2,Slightly not appropriate,2,Slightly positively,4,Neutral,3,Neutral,3,Slightly positively,4,Neutral,3,Slightly not appropriate,2,Slightly negatively,2,Neutral,3,No,0,,No,0,,Yes,2,,"Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Concept Art & Inspiration (e.g. Artists use AI to generate ideas or refine concepts before creating their own work), Marketing & Advertising (e.g. A company uses AI-generated visuals for ads, social media posts, and branding), Game & Film Production (e.g. Designers use AI-generated backgrounds, textures, and character designs), Custom Avatars & Portraits (e.g. AI creates personalized profile pictures, avatars, and digital personas), Collaborative Art (e.g. AI acts as a co-creator, allowing artists to modify, remix, and enhance their work)",Maybe,,No,
6,4/8/2025 14:41:18,Female,Student,Political science economics,No,Very appropriate,5,Slightly positively,4,Neutral,3,Neutral,3,Slightly negatively,2,Slightly fair,4,Slightly appropriate,4,Slightly positively,4,Slightly fair,4,Neutral,3,Slightly negatively,2,Slightly fair,4,Yes,2,,No,0,,Maybe,1,"If it’s not using non-public/personal images to make it and the people who buy it know it’s AI generated, the. It’s fine I supposed. But as soon as it’s using a person’s image without their consent or non/public images, or if the buyers don’t know it’s ai, then it’s not okay and probably illegal.","Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Education & Learning (e.g. AI art tools help beginners learn composition, color theory, and artistic styles), Concept Art & Inspiration (e.g. Artists use AI to generate ideas or refine concepts before creating their own work), Marketing & Advertising (e.g. A company uses AI-generated visuals for ads, social media posts, and branding), Game & Film Production (e.g. Designers use AI-generated backgrounds, textures, and character designs), News & Illustrations (e.g. A media outlet uses AI-generated visuals to accompany articles, NFTs & Digital Art Market (e.g. AI art is sold as NFTs)","Yes, it makes me more strongly AGAINST using AI in art.","It’s his artistic style that is being used in the ai images previously, and his art is probably being assessed by ai to create it. So the previous art seems non consensual. Especially in the instances where the ai art is then being used for marketing or otherwise to make money.",No,
7,4/8/2025 14:43:07,Female,Student, Computer Science and Math,No,Neutral,3,Neutral,3,Neutral,3,Slightly appropriate,4,Slightly positively,4,Neutral,3,Slightly not appropriate,2,Neutral,3,Slightly not fair,2,Neutral,3,Neutral,3,Neutral,3,Yes,2,,No,0,,No,0,,"Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Custom Avatars & Portraits (e.g. AI creates personalized profile pictures, avatars, and digital personas), Collaborative Art (e.g. AI acts as a co-creator, allowing artists to modify, remix, and enhance their work)",Maybe,,No,
8,4/8/2025 14:43:49,Female,Parent,N/A,No,Slightly appropriate,4,Slightly positively,4,Neutral,3,Neutral,3,Neutral,3,Neutral,3,Neutral,3,Neutral,3,Neutral,3,Neutral,3,Neutral,3,Neutral,3,Yes,2,,Maybe,1,,Maybe,1,,"Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Education & Learning (e.g. AI art tools help beginners learn composition, color theory, and artistic styles)","No, it does not change how I feel.",,No,
9,4/8/2025 14:46:45,Nonbinary,Student,Computer Science,Yes,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Yes,2,,No,0,,No,0,,None of the above,"No, it does not change how I feel.",,Yes,
10,4/8/2025 14:49:22,Female,Student,Math and Computer Science,Yes,Slightly not appropriate,2,Slightly negatively,2,Neutral,3,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Slightly appropriate,4,Neutral,3,Neutral,3,Not appropriate at all,1,Very negatively,1,Definitely not fair,1,Yes,2,,Maybe,1,"If someone contributes significant work to a project with AI assistance,  I consider it art",No,0,,"Personal Enjoyment (e.g. A user generates AI art for fun, as a hobby, or to explore creativity), Education & Learning (e.g. AI art tools help beginners learn composition, color theory, and artistic styles), Concept Art & Inspiration (e.g. Artists use AI to generate ideas or refine concepts before creating their own work), Collaborative Art (e.g. AI acts as a co-creator, allowing artists to modify, remix, and enhance their work)","No, it does not change how I feel.",,No,
